Vertical Position [m],Corrected sp Cond [uS/cm]
9.457,10030.5
9.458,10077.7
9.464,10087.2
9.469,10199.0
9.474,10199.1
9.478,10231.3
9.49,10263.8
9.494,10287.0
9.502,10302.9
9.507,10309.6
9.512,10325.6
9.524,10345.8
9.53,10360.9
9.535,10375.4
9.545,10388.7
9.551,10402.5
9.555,10409.7
9.56,10423.1
9.575,10437.1
9.579,10457.9
9.581,10480.8
9.601,10509.5
9.609,10537.1
9.616,10562.6
9.634,10574.2
9.641,10596.3
9.646,10617.0
9.668,11190.0
9.675,11096.7
9.683,11103.5
9.696,11108.4
9.702,11099.2
9.704,11116.4
9.707,11040.5
9.721,11034.1
9.723,11021.4
9.724,11035.2
9.729,11045.4
9.732,11096.349999999999
9.747,11099.0
9.754,11109.0
9.758,11118.1
9.764,11122.3
9.769,11127.9
9.774,11134.2
9.779,11143.0
9.793,11157.3
9.799,11165.4
9.801,11183.1
9.817,11198.7
9.824,11212.0
9.826,11223.3
9.84,11232.9
9.847,11241.4
9.849,11248.9
9.862,11255.3
9.868,11258.2
9.872,11263.3
9.877,11268.2
9.89,11272.8
9.895,11277.4
9.896,11282.4
9.911,11288.7
9.916,11295.2
9.917,11298.9
9.929,11306.4
9.93,11316.8
9.932,11311.3
9.94,11323.5
9.947,11330.0
9.948,11337.2
9.954,11344.3
9.968,11347.7
9.972,11354.4
9.973,11360.7
9.984,11366.6
9.99,11372.3
9.995,11378.0
10.008,11383.4
10.011,11393.1
10.012,11388.3
10.019,11395.3
10.024,11399.8
10.028,11404.1
10.039,11408.4
10.045,11412.9
10.046,11417.4
10.05,11422.1
10.066,11426.5
10.074,11428.9
10.08,11434.0
10.094,11442.2
10.101,11453.2
10.104,11464.3
10.116,11475.7
10.122,11486.8
10.127,11497.2
10.138,11506.3
10.143,11510.5
10.148,11518.2
10.151,11525.9
10.163,11533.6
10.169,11541.2
10.17,11548.7
10.18,11555.9
10.184,11565.05
10.194,11574.0
10.2,11585.2
10.207,11596.6
10.222,11604.6
10.227,11612.3
10.239,11619.7
10.246,11623.3
10.252,11630.6
10.253,11637.4
10.263,11643.5
10.267,11649.7
10.269,11656.8
10.283,11663.1
10.292,11668.8
10.293,11674.1
